date,home_team,away_team,home_score,away_score,url
28.09. 16:00,South Africa,Argentina,48,7,https://www.flashscore.com/match/O8SxhIp8/#/match-summary
28.09. 08:05,New Zealand,Australia,33,13,https://www.flashscore.com/match/A5veTY77/#/match-summary
21.09. 22:00,Argentina,South Africa,29,28,https://www.flashscore.com/match/WEuiUEh1/#/match-summary
21.09. 06:45,Australia,New Zealand,28,31,https://www.flashscore.com/match/EwonVfwe/#/match-summary
07.09. 20:00,Argentina,Australia,67,27,https://www.flashscore.com/match/zmnrWzOl/#/match-summary
07.09. 16:00,South Africa,New Zealand,18,12,https://www.flashscore.com/match/tQnvXG8r/#/match-summary
31.08. 23:00,Argentina,Australia,19,20,https://www.flashscore.com/match/UmKAlqvG/#/match-summary
31.08. 16:00,South Africa,New Zealand,31,27,https://www.flashscore.com/match/nPU5kPO9/#/match-summary
17.08. 10:45,Australia,South Africa,12,30,https://www.flashscore.com/match/8YV1j593/#/match-summary
17.08. 08:05,New Zealand,Argentina,42,10,https://www.flashscore.com/match/EcHbiofc/#/match-summary
10.08. 08:05,New Zealand,Argentina,30,38,https://www.flashscore.com/match/WYiEqZzi/#/match-summary
10.08. 05:30,Australia,South Africa,7,33,https://www.flashscore.com/match/z7IfhRvi/#/match-summary
