date,home_team,away_team,home_score,away_score,key,Home_tries,Away_tries,Home_conv,Away_conv,Home_conv_att,Away_conv_att,Home_pg,Away_pg,Home_pg_att,Away_pg_att,Home_dg,Away_dg,Home_dg_att,Away_dg_att
30.11. 15:10,Ireland,Australia,22,19,https://www.flashscore.com/match/48RLI9fA/#/match-summary,3,1,2,1,3,1,1,4,1,4,0,0,0,0
24.11. 16:10,England,Japan,59,14,https://www.flashscore.com/match/neZhHHz3/#/match-summary,9,2,7,2,9,2,0,0,0,1,0,0,0,0
24.11. 13:40,Scotland,Australia,27,13,https://www.flashscore.com/match/rL3iSjkK/#/match-summary,4,1,2,1,4,1,1,2,2,2,0,0,0,0
16.11. 20:10,France,New Zealand,30,29,https://www.flashscore.com/match/4xBMfE1r/#/match-summary,3,2,3,2,3,2,3,5,3,5,0,0,0,1
15.11. 20:10,Ireland,Argentina,22,19,https://www.flashscore.com/match/juYawDW7/#/match-summary,3,1,2,1,3,1,0,4,0,4,1,0,1,1
10.11. 16:10,Scotland,South Africa,15,32,https://www.flashscore.com/match/EkFl8Vcl/#/match-summary,0,4,0,3,1,3,5,2,5,2,0,0,0,0
09.11. 20:10,France,Japan,52,12,https://www.flashscore.com/match/r3tRdSXj/#/match-summary,8,2,6,1,8,2,0,0,0,0,0,0,0,0
09.11. 17:40,Italy,Argentina,18,50,https://www.flashscore.com/match/ClZevgH1/#/match-summary,2,7,0,6,1,7,2,1,3,1,0,0,0,0
09.11. 15:10,England,Australia,37,42,https://www.flashscore.com/match/OEThFzlI/#/match-summary,5,5,3,4,5,5,2,3,2,3,0,0,0,0
26.10. 06:50,Japan,New Zealand,19,64,https://www.flashscore.com/match/pEFERFXe/#/match-summary,3,10,2,7,2,7,0,0,0,0,0,0,0,0
21.07. 06:05,Japan,Italy,14,42,https://www.flashscore.com/match/UswNy0e3/#/match-summary,2,5,2,4,2,4,0,3,0,3,0,0,0,0
20.07. 20:00,Chile,Scotland,11,52,https://www.flashscore.com/match/fuaFgWre/#/match-summary,1,8,0,6,1,6,2,0,2,0,0,0,0,0
20.07. 20:00,Uruguay,Argentina,5,79,https://www.flashscore.com/match/nFe7ehEr/#/match-summary,1,12,0,8,0,8,0,1,0,1,0,0,0,0
20.07. 16:00,South Africa,Portugal,64,21,https://www.flashscore.com/match/zqdWExlj/#/match-summary,10,3,7,3,7,3,0,0,1,0,0,0,0,0
20.07. 06:45,Australia,Georgia,40,29,https://www.flashscore.com/match/tMdSFIYq/#/match-summary,6,4,5,3,5,3,0,1,0,1,0,0,0,0
20.07. 03:30,New Zealand,Fiji,47,5,https://www.flashscore.com/match/jivJxttc/#/match-summary,7,1,6,0,7,0,0,0,0,0,0,0,0,0
13.07. 20:00,Argentina,France,33,25,https://www.flashscore.com/match/IRZiuZ1e/#/match-summary,5,3,3,2,3,2,0,2,0,2,0,0,0,0
13.07. 16:00,South Africa,Ireland,24,25,https://www.flashscore.com/match/zsVx9ALa/#/match-summary,0,1,0,1,0,1,8,4,8,4,0,2,0,2
13.07. 11:05,Japan,Georgia,23,25,https://www.flashscore.com/match/QZyhOtR3/#/match-summary,2,3,2,2,2,3,3,2,3,2,0,0,0,0
13.07. 10:45,Australia,Wales,36,28,https://www.flashscore.com/match/MwRY9j6g/#/match-summary,4,4,2,4,4,4,4,0,4,0,0,0,0,0
13.07. 08:05,New Zealand,England,24,17,https://www.flashscore.com/match/vwtdN0tA/#/match-summary,2,2,1,2,2,2,4,1,4,1,0,0,0,0
12.07. 23:30,USA,Scotland,7,42,https://www.flashscore.com/match/YBVXtgak/#/match-summary,1,6,1,6,1,6,0,0,3,0,0,0,0,0
10.07. 18:00,Uruguay,France A,28,43,https://www.flashscore.com/match/6cFi1Np4/#/match-summary,4,4,3,4,3,4,0,5,0,5,0,0,0,0
22.06. 14:00,South Africa,Wales,41,13,https://www.flashscore.com/match/z57H3FqK/#/match-summary,5,1,4,1,4,1,2,2,2,2,0,0,0,0
22.06. 06:50,Japan,England,17,52,https://www.flashscore.com/match/dE8D4eUD/#/match-summary,2,8,2,6,2,8,1,0,1,0,0,0,0,0
