,home_team,home_score,away_team,away_score,Mean_x,94_flag_x,68_flag_x,50_flag_x,Mean_y,94_flag_y,68_flag_y,50_flag_y
0,France,17,Ireland,38,22.14,1,1,1,23.58,1,0,0
1,Italy,24,England,27,23.47,1,1,1,25.97,1,1,1
2,Wales,26,Scotland,27,22.35,1,1,1,31.21,1,1,1
3,Scotland,16,France,20,26.74,1,1,0,25.56,1,1,1
4,England,16,Wales,14,29.55,1,0,0,22.55,1,1,1
5,Ireland,36,Italy,0,27.13,1,1,0,18.54,0,0,0
6,Ireland,31,Wales,7,29.89,1,1,1,18.44,1,1,0
7,Scotland,30,England,21,28.36,1,1,1,23.86,1,1,1
8,France,13,Italy,13,28.81,1,0,0,21.49,1,1,1
9,Italy,31,Scotland,29,22.98,1,1,0,28.73,1,1,1
10,England,23,Ireland,22,20.18,1,1,1,24.97,1,1,1
11,Wales,24,France,45,21.62,1,1,1,30.63,1,0,0
12,Wales,21,Italy,24,24.55,1,1,1,26.17,1,1,1
13,Ireland,17,Scotland,13,25.12,1,1,0,22.28,1,1,0
14,France,33,England,31,27.64,1,1,1,23.27,1,1,1
15,Wales,13,South Africa,41,17.73,1,1,1,30.89,1,1,0
16,New Zealand,16,England,15,27.73,1,0,0,21.83,1,1,1
17,Australia,25,Wales,16,30.49,1,1,1,25.03,1,1,1
18,South Africa,27,Ireland,20,22.75,1,1,1,19.74,1,1,1
19,Argentina,13,France,28,25.43,1,0,0,28.3,1,1,1
20,New Zealand,24,England,17,27.63,1,1,1,21.67,1,1,1
21,Australia,36,Wales,28,30.28,1,1,1,24.3,1,1,1
22,South Africa,24,Ireland,25,22.88,1,1,1,19.16,1,1,1
23,Argentina,33,France,25,25.25,1,1,0,28.58,1,1,1
24,Australia,7,South Africa,33,20.18,1,0,0,29.15,1,1,1
25,New Zealand,30,Argentina,38,29.92,1,1,1,23.17,1,0,0
26,New Zealand,42,Argentina,10,30.04,1,0,0,23.43,1,0,0
27,Australia,12,South Africa,30,20.37,1,1,0,29.24,1,1,1
28,Fiji,42,Samoa,16,31.11,1,1,0,23.62,1,1,1
29,Canada,28,Japan,55,31.21,1,1,1,33.0,1,0,0
30,Samoa,43,Tonga,17,31.52,1,1,0,27.19,1,1,0
31,USA,28,Canada,15,28.26,1,1,1,22.78,1,1,1
32,Tonga,19,Fiji,50,23.2,1,1,1,32.97,1,0,0
33,Japan,41,USA,24,28.18,1,0,0,29.39,1,1,1
34,Tonga,30,Canada,17,30.06,1,1,1,28.95,1,1,0
35,Fiji,22,USA,3,27.15,1,1,1,21.59,1,0,0
36,Samoa,27,Japan,49,32.61,1,1,1,31.1,1,0,0
37,Samoa,18,USA,13,25.07,1,1,1,25.49,1,1,0
38,Fiji,41,Japan,17,34.98,1,1,1,26.38,1,1,1
39,Japan,19,New Zealand,64,24.79,1,1,1,34.47,0,0,0
40,England,22,New Zealand,24,22.3,1,1,1,26.95,1,1,1
41,Scotland,57,Fiji,17,27.68,0,0,0,25.6,1,1,1
42,Ireland,13,New Zealand,23,22.69,1,1,0,22.06,1,1,1
43,England,37,Australia,42,27.73,1,1,0,25.66,1,0,0
44,Italy,18,Argentina,50,25.33,1,1,1,27.6,1,0,0
45,France,52,Japan,12,35.53,1,0,0,25.63,1,0,0
46,Wales,19,Fiji,24,22.48,1,1,1,29.98,1,1,1
47,Scotland,15,South Africa,32,21.99,1,1,1,26.43,1,1,1
48,Ireland,22,Argentina,19,27.77,1,1,1,21.06,1,1,1
49,Japan,36,Uruguay,20,31.05,1,1,1,31.13,1,1,0
50,Spain,19,Fiji,33,24.08,1,1,1,28.42,1,1,1
51,Scotland,59,Portugal,21,37.32,1,0,0,23.78,1,1,1
52,England,20,South Africa,29,19.58,1,1,1,27.36,1,1,1
53,France,30,New Zealand,29,24.37,1,1,1,25.66,1,1,1
54,Italy,20,Georgia,17,23.64,1,1,1,25.43,1,1,1
55,Wales,20,Australia,52,25.39,1,1,1,29.48,1,0,0
56,France,37,Argentina,23,29.36,1,1,0,24.71,1,1,1
